valid, idx, real
1,           5,  -5796
1,           6,  -5849
1,           7,  -5902
1,           8,  -5955
1,           9,  -6013
1,          10,  -6065
1,          11,  -6118
1,          12,  -6171
1,          13,  -6228
1,          14,  -6281
1,          15,  -6333
1,           0,  -6390
1,           1,  -6442
1,           2,  -6494
1,           3,  -6551
1,           4,  -6602
1,           5,  -6654
1,           6,  -6706
1,           7,  -6762
1,           8,  -6813
1,           9,  -6865
1,          10,  -6916
1,          11,  -6967
1,          12,  -7023
1,          13,  -7073
1,          14,  -7124
1,          15,  -7175
1,           0,  -7225
1,           1,  -7276
1,           2,  -7326
1,           3,  -7381
1,           4,  -7431
1,           5,  -7481
1,           6,  -7531
1,           7,  -7581
1,           8,  -7635
1,           9,  -7685
1,          10,  -7734
1,          11,  -7783
1,          12,  -7837
1,          13,  -7886
1,          14,  -7935
1,          15,  -7983
1,           0,  -8037
1,           1,  -8091
1,           2,  -8139
1,           3,  -8187
1,           4,  -8235
1,           5,  -8288
1,           6,  -8336
1,           7,  -8384
1,           8,  -8431
1,           9,  -8484
1,          10,  -8531
1,          11,  -8578
1,          12,  -8625
1,          13,  -8677
1,          14,  -8724
1,          15,  -8771
1,           0,  -8812
1,           1,  -8864
1,           2,  -8910
1,           3,  -8956
1,           4,  -9002
1,           5,  -9053
1,           6,  -9099
1,           7,  -9144
1,           8,  -9190
1,           9,  -9240
1,          10,  -9285
1,          11,  -9330
1,          12,  -9375
1,          13,  -9420
1,          14,  -9469
1,          15,  -9514
1,           0,  -9558
1,           1,  -9607
1,           2,  -9651
1,           3,  -9695
1,           4,  -9739
1,           5,  -9787
1,           6,  -9830
1,           7,  -9874
1,           8,  -9917
1,           9,  -9964
1,          10, -10007
1,          11, -10050
1,          12, -10092
1,          13, -10135
1,          14, -10182
1,          15, -10224
1,           0, -10270
1,           1, -10312
1,           2, -10353
1,           3, -10399
1,           4, -10440
1,           5, -10481
1,           6, -10523
1,           7, -10568
1,           8, -10609
1,           9, -10649
1,          10, -10689
1,          11, -10734
1,          12, -10774
1,          13, -10814
1,          14, -10854
1,          15, -10893
1,           0, -10933
1,           1, -10972
1,           2, -11015
1,           3, -11054
1,           4, -11093
1,           5, -11131
1,           6, -11170
1,           7, -11212
1,           8, -11250
1,           9, -11288
1,          10, -11326
1,          11, -11367
1,          12, -11405
1,          13, -11442
1,          14, -11479
1,          15, -11520
1,           0, -11560
1,           1, -11597
1,           2, -11633
1,           3, -11673
1,           4, -11709
1,           5, -11745
1,           6, -11781
1,           7, -11816
1,           8, -11855
1,           9, -11890
1,          10, -11925
1,          11, -11960
1,          12, -11998
1,          13, -12032
1,          14, -12067
1,          15, -12101
1,           0, -12138
1,           1, -12172
1,           2, -12205
1,           3, -12239
1,           4, -12275
1,           5, -12308
1,           6, -12341
1,           7, -12373
1,           8, -12409
1,           9, -12441
1,          10, -12473
1,          11, -12505
1,          12, -12540
1,          13, -12572
1,          14, -12603
1,          15, -12634
1,           0, -12665
1,           1, -12696
1,           2, -12729
1,           3, -12759
1,           4, -12790
1,           5, -12820
1,           6, -12852
1,           7, -12882
1,           8, -12911
1,           9, -12941
1,          10, -12972
1,          11, -13001
1,          12, -13030
1,          13, -13058
1,          14, -13089
1,          15, -13117
1,           0, -13142
1,           1, -13173
1,           2, -13200
1,           3, -13227
1,           4, -13254
1,           5, -13284
1,           6, -13310
1,           7, -13337
1,           8, -13363
1,           9, -13391
1,          10, -13418
1,          11, -13443
1,          12, -13468
1,          13, -13496
1,          14, -13521
1,          15, -13546
1,           0, -13570
1,           1, -13595
1,           2, -13619
1,           3, -13646
1,           4, -13669
1,           5, -13693
1,           6, -13716
1,           7, -13742
1,           8, -13765
1,           9, -13787
1,          10, -13810
1,          11, -13832
1,          12, -13857
1,          13, -13879
1,          14, -13900
1,          15, -13922
1,           0, -13948
1,           1, -13969
1,           2, -13989
1,           3, -14012
1,           4, -14032
1,           5, -14052
1,           6, -14073
1,           7, -14095
1,           8, -14114
1,           9, -14133
1,          10, -14153
1,          11, -14173
1,          12, -14192
1,          13, -14211
1,          14, -14229
1,          15, -14249
1,           0, -14267
1,           1, -14286
1,           2, -14303
1,           3, -14321
1,           4, -14338
1,           5, -14355
1,           6, -14373
1,           7, -14389
1,           8, -14405
1,           9, -14421
1,          10, -14438
1,          11, -14454
1,          12, -14469
1,          13, -14484
1,          14, -14501
1,          15, -14515
1,           0, -14527
1,           1, -14542
1,           2, -14556
1,           3, -14570
1,           4, -14583
1,           5, -14598
1,           6, -14611
1,           7, -14624
1,           8, -14637
1,           9, -14651
1,          10, -14663
1,          11, -14675
1,          12, -14687
1,          13, -14699
1,          14, -14711
1,          15, -14722
1,           0, -14734
1,           1, -14745
1,           2, -14755
1,           3, -14766
1,           4, -14776
1,           5, -14786
1,           6, -14795
1,           7, -14806
1,           8, -14815
1,           9, -14824
1,          10, -14833
1,          11, -14842
1,          12, -14850
1,          13, -14858
1,          14, -14866
1,          15, -14874
1,           0, -14881
1,           1, -14888
1,           2, -14895
1,           3, -14902
1,           4, -14908
1,           5, -14915
1,           6, -14921
1,           7, -14927
1,           8, -14933
1,           9, -14938
1,          10, -14944
1,          11, -14948
1,          12, -14953
1,          13, -14958
1,          14, -14962
1,          15, -14966
1,           0, -14970
1,           1, -14973
1,           2, -14977
1,           3, -14980
1,           4, -14983
1,           5, -14986
1,           6, -14988
1,           7, -14990
1,           8, -14992
1,           9, -14994
1,          10, -14995
1,          11, -14997
1,          12, -14998
1,          13, -14999
1,          14, -14999
1,          15, -15000
1,           0, -15000
1,           1, -15000
1,           2, -14999
1,           3, -14999
1,           4, -14998
1,           5, -14997
1,           6, -14995
1,           7, -14994
1,           8, -14992
1,           9, -14990
1,          10, -14988
1,          11, -14985
1,          12, -14983
1,          13, -14980
1,          14, -14977
1,          15, -14973
1,           0, -14970
1,           1, -14966
1,           2, -14963
1,           3, -14958
1,           4, -14954
1,           5, -14949
1,           6, -14944
1,           7, -14939
1,           8, -14934
1,           9, -14928
1,          10, -14922
1,          11, -14916
1,          12, -14910
1,          13, -14903
1,          14, -14896
1,          15, -14889
1,           0, -14881
1,           1, -14873
1,           2, -14865
1,           3, -14857
1,           4, -14849
1,           5, -14841
1,           6, -14832
1,           7, -14823
1,           8, -14814
1,           9, -14805
1,          10, -14795
1,          11, -14785
1,          12, -14775
1,          13, -14765
1,          14, -14755
1,          15, -14744
1,           0, -14734
1,           1, -14723
1,           2, -14712
1,           3, -14701
1,           4, -14689
1,           5, -14676
1,           6, -14664
1,           7, -14652
1,           8, -14639
1,           9, -14626
1,          10, -14613
1,          11, -14599
